# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
352ec8c99fe1397a88ecb3aee6dbb4d121c818e9,NONE,none,e
35f13b5a32c64b21517f0c4009f264067338912e,MIRRORED,none,j
3626b5dd3188ec2a16e102d05c79f8f242fbd892,ASCII8,basic,j
365c93d7652c9f727221689bcc348652832a7b7a,NONE,none,e
373412f9c32762de1c3a7e27fc3d80614e0a0c8e,NONE,none,e
373aa82d0426830880a7344ef98f7309d93814c7,NONE,none,e
37bd4680a36c3a1a078e2bc47b631d858d9296b8,RTYPE,none,j
380225f8bcd6534536b41fc6f15ab80e48aa7172,NONE,none,e
3880b064dcb851ca221ff67e435137a7cf1141f8,KONAMI_SCC,none,e
38a645febd0e0fe86d594f27c2d14be995acc730,NONE,none,e
3926cdd91fa89657a811463e48cfbdb350676e51,NONE,none,e
39dfc46260f99b670916b1e55f67a5d4136e6e54,NONE,none,e
3a1f5fcb8c0856aaef8dd61199a62acb760b0086,NONE,none,e
3a481c7b7e4f0406a55952bc5b9f8cf9d699376c,NONE,none,e
3a9a942ed888dd641cddf8deada1879c454df3c6,NONE,none,e
3abca440cba16ac5e162b602557d30169f77adab,NONE,none,e
3c29eef381d77f8c1f425a3e29919013c72f875c,MIRRORED,none,j
3c62e2e2fbc9f8722226b6e805fdb133e5af7ed2,NONE,none,e
3ce8e35790eb4689b21e14c7ecdd4b63943ee158,NONE,none,e
3dc1574c77227beb1e66253c317a794fb70bbdb2,KONAMI_SCC,none,e
3eee7c72362522c27866d4367a8cf1e22932db32,MIRRORED,basic,e
3f047469b62d93904005a0ea29092e892724ce0b,NONE,none,e
3f16d5513ad35692488ae7d864f660e76c6e8ed3,NONE,none,e
3f741ba2ab08c5e9fb658882b36b8e3d01682f58,ASCII8,none,j
4025045e93f51afd58545104cc2c897226febaf7,PAGE2,basic,j
4180544158a57c99162269e33e4f2c77c9fce84e,MSXWrite,none,j
41ba54c945104915ccc8d465930445c905d839e4,NONE,basic,j
421ac0dbfdf35b35fe5adba5d528efba28edcecb,NONE,none,e
42fbb18722df3e34e5b0f935a2dc0ce0d85099e9,KONAMI_SCC,none,e
4340a2580c949d498d2c8e71699fff860214e9ea,ASCII16,none,j
434651305f92aa770a89e40b81125fb22d91603d,NONE,none,e
44b23a175d04ca21236a5fef18600b01b12aaf4d,ASCII8,none,j
